Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
Clean size:30248000
1 cleaning:9.03355E-4
1 serializing:0.158636
1 receiving:2.614855
1 wordCount:0.002418088
2 cleaning:9.32106E-4
2 serializing:0.16358
2 receiving:2.684654
2 wordCount:0.002492381
3 cleaning:9.4448E-4
3 serializing:0.166602
3 receiving:2.737944
3 wordCount:0.002532141
4 cleaning:9.60155E-4
4 serializing:0.169179
4 receiving:2.764748
4 wordCount:0.00256013
5 cleaning:9.67852E-4
5 serializing:0.171364
5 receiving:2.788746
5 wordCount:0.002582267
6 cleaning:9.71856E-4
6 serializing:0.173031
6 receiving:2.808074
6 wordCount:0.002598344
7 cleaning:9.78106E-4
7 serializing:0.174556
7 receiving:2.826928
7 wordCount:0.002621078
8 cleaning:9.86607E-4
8 serializing:0.176117
8 receiving:2.84575
8 wordCount:0.002638858
9 cleaning:9.95249E-4
9 serializing:0.177519
9 receiving:2.862453
9 wordCount:0.002653978
10 cleaning:9.99152E-4
10 serializing:0.17904
10 receiving:2.879239
10 wordCount:0.002668624
11 cleaning:0.001002185
11 serializing:0.180276
11 receiving:2.897083
11 wordCount:0.00268141
12 cleaning:0.001005234
12 serializing:0.181578
12 receiving:2.916488
12 wordCount:0.00270032
13 cleaning:0.001008352
13 serializing:0.183294
13 receiving:2.937394
13 wordCount:0.002720431
14 cleaning:0.001012855
14 serializing:0.184739
14 receiving:2.958304
14 wordCount:0.0027413
15 cleaning:0.001021335
15 serializing:0.18592
15 receiving:2.977489
15 wordCount:0.002759692
16 cleaning:0.001032295
16 serializing:0.187651
16 receiving:3.001673
16 wordCount:0.002779991
17 cleaning:0.001037789
17 serializing:0.189298
17 receiving:3.025357
17 wordCount:0.002800557
18 cleaning:0.001042365
18 serializing:0.191192
18 receiving:3.047783
18 wordCount:0.002824566
19 cleaning:0.001047873
19 serializing:0.193229
19 receiving:3.080775
19 wordCount:0.002854105
