Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
Clean size:16016000
1 cleaning:1.65484E-4
1 serializing:0.10762
1 receiving:0.652703
1 wordCount:5.7165E-4
2 cleaning:1.92109E-4
2 serializing:0.129793
2 receiving:0.739607
2 wordCount:6.67923E-4
3 cleaning:2.30519E-4
3 serializing:0.14562
3 receiving:0.877248
3 wordCount:7.91973E-4
4 cleaning:2.53986E-4
4 serializing:0.164546
4 receiving:0.994036
4 wordCount:9.07391E-4
5 cleaning:2.86038E-4
5 serializing:0.175697
5 receiving:1.068941
5 wordCount:9.66695E-4
6 cleaning:2.91344E-4
6 serializing:0.190301
6 receiving:1.125257
6 wordCount:0.001014509
7 cleaning:3.27781E-4
7 serializing:0.2179
7 receiving:1.319983
7 wordCount:0.00118185
8 cleaning:3.73135E-4
8 serializing:0.227966
8 receiving:1.389282
8 wordCount:0.00126562
9 cleaning:3.82796E-4
9 serializing:0.234306
9 receiving:1.423319
9 wordCount:0.001288753
10 cleaning:3.86994E-4
10 serializing:0.241932
10 receiving:1.460181
10 wordCount:0.00132507
11 cleaning:3.91283E-4
11 serializing:0.255393
11 receiving:1.508849
11 wordCount:0.001372212
12 cleaning:4.1502E-4
12 serializing:0.278579
12 receiving:1.609644
12 wordCount:0.001456475
13 cleaning:4.64208E-4
13 serializing:0.310747
13 receiving:1.846435
13 wordCount:0.001680991
14 cleaning:5.16278E-4
14 serializing:0.323465
14 receiving:1.971785
14 wordCount:0.001832224
15 cleaning:5.6075E-4
15 serializing:0.328839
15 receiving:2.001612
15 wordCount:0.001866763
16 cleaning:5.64352E-4
16 serializing:0.331924
16 receiving:2.024105
16 wordCount:0.001877652
17 cleaning:5.65808E-4
17 serializing:0.334296
17 receiving:2.038348
17 wordCount:0.001885846
18 cleaning:5.66721E-4
18 serializing:0.336177
18 receiving:2.048005
18 wordCount:0.001890325
19 cleaning:5.67749E-4
