Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
Clean size:8008000
58 wordCount:6.91688E-4
59 cleaning:5.61867E-4
59 serializing:0.082112
59 receiving:0.759232
59 wordCount:6.94603E-4
60 cleaning:5.65239E-4
60 serializing:0.08324
60 receiving:0.764829
60 wordCount:6.98634E-4
61 cleaning:5.68715E-4
61 serializing:0.08425
61 receiving:0.769576
61 wordCount:7.02557E-4
62 cleaning:5.72467E-4
62 serializing:0.085442
62 receiving:0.775288
62 wordCount:7.05329E-4
63 cleaning:5.75461E-4
63 serializing:0.086951
63 receiving:0.781574
63 wordCount:7.09792E-4
64 cleaning:5.78595E-4
64 serializing:0.088595
64 receiving:0.787688
64 wordCount:7.13671E-4
65 cleaning:5.82417E-4
65 serializing:0.09014
65 receiving:0.794549
65 wordCount:7.18752E-4
66 cleaning:5.85732E-4
66 serializing:0.091717
66 receiving:0.802424
66 wordCount:7.232E-4
67 cleaning:5.89275E-4
67 serializing:0.093467
67 receiving:0.811332
67 wordCount:7.27394E-4
68 cleaning:5.9239E-4
68 serializing:0.095305
68 receiving:0.821328
68 wordCount:7.32285E-4
69 cleaning:5.95677E-4
69 serializing:0.097173
69 receiving:0.834898
69 wordCount:7.37273E-4
70 cleaning:5.98932E-4
70 serializing:0.099438
70 receiving:0.848942
70 wordCount:7.41584E-4
71 cleaning:6.01528E-4
71 serializing:0.101723
71 receiving:0.860158
71 wordCount:7.46689E-4
72 cleaning:6.04551E-4
72 serializing:0.103881
72 receiving:0.874972
72 wordCount:7.52025E-4
73 cleaning:6.07889E-4
73 serializing:0.106482
73 receiving:0.891543
73 wordCount:7.57445E-4
74 cleaning:6.11819E-4
74 serializing:0.108862
74 receiving:0.907484
74 wordCount:7.62922E-4
75 cleaning:6.14978E-4
75 serializing:0.112074
75 receiving:0.927507
75 wordCount:7.68121E-4
76 cleaning:6.18509E-4
76 serializing:0.114978
76 receiving:0.948261
76 wordCount:7.74145E-4
77 cleaning:6.2224E-4
77 serializing:0.118938
77 receiving:0.971296
77 wordCount:7.81888E-4
78 cleaning:6.25312E-4
78 serializing:0.123185
78 receiving:0.996109
78 wordCount:7.90842E-4
79 cleaning:6.29071E-4
79 serializing:0.128347
79 receiving:1.037385
79 wordCount:7.99966E-4
80 cleaning:6.32568E-4
80 serializing:0.13334
80 receiving:1.078453
80 wordCount:8.10502E-4
81 cleaning:6.36807E-4
81 serializing:0.140496
81 receiving:1.123427
81 wordCount:8.21547E-4
82 cleaning:6.40987E-4
82 serializing:0.147697
82 receiving:1.15789
82 wordCount:8.37621E-4
83 cleaning:6.45624E-4
83 serializing:0.155868
83 receiving:1.203446
83 wordCount:8.54001E-4
84 cleaning:6.49799E-4
84 serializing:0.164208
84 receiving:1.250527
84 wordCount:8.72052E-4
85 cleaning:6.54639E-4
85 serializing:0.178248
85 receiving:1.295114
85 wordCount:8.88006E-4
86 cleaning:6.59686E-4
86 serializing:0.195193
86 receiving:1.336256
86 wordCount:9.11186E-4
87 cleaning:6.65835E-4
87 serializing:0.218854
87 receiving:1.381299
87 wordCount:9.37145E-4
88 cleaning:6.71457E-4
88 serializing:0.258308
88 receiving:1.449457
88 wordCount:9.69213E-4
89 cleaning:6.77333E-4
89 serializing:0.317514
89 receiving:1.534593
89 wordCount:0.001030501
90 cleaning:6.84972E-4
90 serializing:0.401023
90 receiving:1.649356
90 wordCount:0.001102658
91 cleaning:6.92863E-4
91 serializing:0.501295
91 receiving:1.762581
91 wordCount:0.001194033
92 cleaning:7.03612E-4
92 serializing:0.601266
92 receiving:1.856945
92 wordCount:0.001257555
93 cleaning:7.18722E-4
93 serializing:0.667959
93 receiving:1.940768
93 wordCount:0.001308031
94 cleaning:7.35887E-4
94 serializing:0.708498
94 receiving:2.050946
94 wordCount:0.001374506
95 cleaning:7.57646E-4
95 serializing:0.743581
95 receiving:2.157937
95 wordCount:0.001437368
96 cleaning:7.86784E-4
96 serializing:0.775645
96 receiving:2.365718
96 wordCount:0.001523561
97 cleaning:8.3578E-4
97 serializing:0.83526
97 receiving:2.816912
97 wordCount:0.001750872
98 cleaning:0.001153678
98 serializing:0.950532
98 receiving:3.958254
98 wordCount:0.002338699
99 cleaning:0.001632448
99 serializing:1.625067
99 receiving:5.941437
99 wordCount:0.003954862
100 cleaning:0.023087995
100 serializing:16.986088
100 receiving:23.233551
100 wordCount:0.023221347
Receiving times: 7791707.5 with average:0.97299045
Serializing sum: 1537439.4 with average:0.19198793
WordCount sum: 6049.152 with average:7.553886E-4
Cleantime Sum: 4097.3584 with average:5.1165815E-4
