Response time percentiles [ms]: 
Clean size:28878000
67 cleaning:0.002641532
67 serializing:0.357917
67 receiving:7.522863
67 wordCount:0.007054425
68 cleaning:0.002658817
68 serializing:0.36099
68 receiving:7.586382
68 wordCount:0.007120215
69 cleaning:0.002676066
69 serializing:0.36496
69 receiving:7.661084
69 wordCount:0.007173616
70 cleaning:0.002693186
70 serializing:0.368901
70 receiving:7.734526
70 wordCount:0.007229015
71 cleaning:0.002714442
71 serializing:0.372967
71 receiving:7.797684
71 wordCount:0.007296842
72 cleaning:0.002731308
72 serializing:0.37686
72 receiving:7.881369
72 wordCount:0.007370727
73 cleaning:0.002748082
73 serializing:0.381805
73 receiving:7.962869
73 wordCount:0.007438067
74 cleaning:0.002766964
74 serializing:0.386913
74 receiving:8.058533
74 wordCount:0.007515168
75 cleaning:0.002785197
75 serializing:0.391723
75 receiving:8.157985
75 wordCount:0.007610401
76 cleaning:0.002807959
76 serializing:0.397861
76 receiving:8.240068
76 wordCount:0.007709786
77 cleaning:0.002833176
77 serializing:0.406874
77 receiving:8.33868
77 wordCount:0.007787508
78 cleaning:0.002859825
78 serializing:0.417961
78 receiving:8.424324
78 wordCount:0.007878538
79 cleaning:0.002884125
79 serializing:0.430335
79 receiving:8.527094
79 wordCount:0.007987537
80 cleaning:0.002917867
80 serializing:0.443415
80 receiving:8.639258
80 wordCount:0.008092995
81 cleaning:0.002947435
81 serializing:0.459263
81 receiving:8.741849
81 wordCount:0.008196502
82 cleaning:0.002974966
82 serializing:0.477415
82 receiving:8.874723
82 wordCount:0.00828915
83 cleaning:0.003009896
83 serializing:0.494564
83 receiving:9.014041
83 wordCount:0.008417255
84 cleaning:0.003053433
84 serializing:0.515829
84 receiving:9.133805
84 wordCount:0.008554311
85 cleaning:0.003108543
85 serializing:0.547572
85 receiving:9.279005
85 wordCount:0.00867692
86 cleaning:0.003179076
86 serializing:0.569058
86 receiving:9.491465
86 wordCount:0.008833579
87 cleaning:0.003262584
87 serializing:0.60747
87 receiving:9.74342
87 wordCount:0.009056262
88 cleaning:0.003362222
88 serializing:0.674147
88 receiving:9.981352
