Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
Clean size:29138000
1 cleaning:6.79195E-4
1 serializing:0.181862
1 receiving:2.034359
1 wordCount:0.001882977
2 cleaning:6.94768E-4
2 serializing:0.190039
2 receiving:2.08431
2 wordCount:0.001919643
3 cleaning:7.1841E-4
3 serializing:0.198128
3 receiving:2.1817
3 wordCount:0.002008953
4 cleaning:7.59566E-4
4 serializing:0.208426
4 receiving:2.297657
4 wordCount:0.002123604
5 cleaning:7.99557E-4
5 serializing:0.215909
5 receiving:2.383357
5 wordCount:0.002207751
6 cleaning:8.07922E-4
6 serializing:0.223239
6 receiving:2.431352
6 wordCount:0.002244799
7 cleaning:8.26964E-4
7 serializing:0.233157
7 receiving:2.572393
7 wordCount:0.002384544
8 cleaning:8.78573E-4
8 serializing:0.241442
8 receiving:2.653074
8 wordCount:0.002438076
9 cleaning:9.14252E-4
9 serializing:0.249307
9 receiving:2.734025
9 wordCount:0.002535665
10 cleaning:9.29134E-4
10 serializing:0.254529
10 receiving:2.819107
10 wordCount:0.002627731
11 cleaning:9.62613E-4
11 serializing:0.25858
11 receiving:2.856174
11 wordCount:0.00265432
12 cleaning:9.67947E-4
12 serializing:0.262893
12 receiving:2.886729
12 wordCount:0.002674756
13 cleaning:9.73123E-4
13 serializing:0.268468
13 receiving:2.930084
13 wordCount:0.002715429
14 cleaning:9.92401E-4
14 serializing:0.273946
14 receiving:3.008948
14 wordCount:0.002798297
15 cleaning:0.001018669
15 serializing:0.281955
15 receiving:3.104345
15 wordCount:0.002889889
16 cleaning:0.001064187
16 serializing:0.291786
16 receiving:3.199518
16 wordCount:0.00296256
17 cleaning:0.0010861
17 serializing:0.299996
17 receiving:3.310823
17 wordCount:0.003096333
18 cleaning:0.001133644
18 serializing:0.304727
18 receiving:3.354511
18 wordCount:0.003125408
19 cleaning:0.001141099
19 serializing:0.311328
19 receiving:3.39573
