Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
Clean size:26188000
1 cleaning:4.99958E-4
1 serializing:0.151133
1 receiving:1.498277
1 wordCount:0.001370905
2 cleaning:5.12435E-4
2 serializing:0.155439
2 receiving:1.535328
2 wordCount:0.001410168
3 cleaning:5.19259E-4
3 serializing:0.158251
3 receiving:1.553256
3 wordCount:0.001428528
4 cleaning:5.23618E-4
4 serializing:0.160335
4 receiving:1.570872
4 wordCount:0.001444556
5 cleaning:5.29817E-4
5 serializing:0.161538
5 receiving:1.586625
5 wordCount:0.001457133
6 cleaning:5.33056E-4
6 serializing:0.162982
6 receiving:1.59478
6 wordCount:0.001466304
7 cleaning:5.35019E-4
7 serializing:0.164364
7 receiving:1.604227
7 wordCount:0.001475428
8 cleaning:5.37168E-4
8 serializing:0.165504
8 receiving:1.615676
8 wordCount:0.001485741
9 cleaning:5.40719E-4
9 serializing:0.16668
9 receiving:1.628506
9 wordCount:0.001495724
10 cleaning:5.47102E-4
10 serializing:0.167671
10 receiving:1.638142
10 wordCount:0.001504251
11 cleaning:5.50312E-4
11 serializing:0.168593
11 receiving:1.644652
11 wordCount:0.001510693
12 cleaning:5.52442E-4
12 serializing:0.16952
12 receiving:1.649984
12 wordCount:0.00151726
13 cleaning:5.5431E-4
13 serializing:0.170317
13 receiving:1.657615
13 wordCount:0.001527637
14 cleaning:5.56265E-4
14 serializing:0.171042
14 receiving:1.667827
14 wordCount:0.001538621
15 cleaning:5.59612E-4
15 serializing:0.171704
15 receiving:1.678627
15 wordCount:0.001547341
16 cleaning:5.65329E-4
16 serializing:0.172513
16 receiving:1.68538
16 wordCount:0.001552782
17 cleaning:5.68008E-4
17 serializing:0.173248
17 receiving:1.691347
17 wordCount:0.001557801
18 cleaning:5.69361E-4
18 serializing:0.173896
18 receiving:1.697284
18 wordCount:0.001562001
19 cleaning:5.70469E-4
19 serializing:0.174586
