Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
Clean size:16032000
1 cleaning:3.35256E-4
1 serializing:0.15612
1 receiving:1.156176
1 wordCount:0.001052015
2 cleaning:3.52516E-4
2 serializing:0.172821
2 receiving:1.25135
2 wordCount:0.001130955
3 cleaning:3.90828E-4
3 serializing:0.189021
3 receiving:1.360818
3 wordCount:0.001238736
4 cleaning:4.4581E-4
4 serializing:0.207986
4 receiving:1.526967
4 wordCount:0.001406975
5 cleaning:4.69285E-4
5 serializing:0.217257
5 receiving:1.601075
5 wordCount:0.001456195
6 cleaning:4.79222E-4
6 serializing:0.229731
6 receiving:1.670246
6 wordCount:0.001525863
7 cleaning:5.27577E-4
7 serializing:0.25157
7 receiving:1.815761
7 wordCount:0.00167304
8 cleaning:5.63332E-4
8 serializing:0.25864
8 receiving:1.920329
8 wordCount:0.001765505
9 cleaning:5.80843E-4
9 serializing:0.262302
9 receiving:1.945453
9 wordCount:0.00178652
10 cleaning:5.83734E-4
10 serializing:0.266287
10 receiving:1.963978
10 wordCount:0.001809169
11 cleaning:5.8675E-4
11 serializing:0.270913
11 receiving:1.986839
11 wordCount:0.001825908
12 cleaning:5.91496E-4
12 serializing:0.276956
12 receiving:2.016332
12 wordCount:0.001849903
13 cleaning:5.95742E-4
13 serializing:0.284005
13 receiving:2.053616
13 wordCount:0.001884246
14 cleaning:6.06917E-4
14 serializing:0.29583
14 receiving:2.125058
14 wordCount:0.001944272
15 cleaning:6.39199E-4
15 serializing:0.314655
15 receiving:2.255527
15 wordCount:0.002074815
16 cleaning:7.145E-4
16 serializing:0.327452
16 receiving:2.387448
16 wordCount:0.002198094
17 cleaning:7.27687E-4
17 serializing:0.339382
17 receiving:2.478679
17 wordCount:0.0022835
18 cleaning:7.66235E-4
18 serializing:0.345463
18 receiving:2.549416
18 wordCount:0.002358167
19 cleaning:7.73016E-4
19 serializing:0.34921
