Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
Clean size:23234000
1 cleaning:3.95677E-4
1 serializing:0.13027
1 receiving:1.21551
1 wordCount:0.001114538
2 cleaning:4.06195E-4
2 serializing:0.134168
2 receiving:1.250939
2 wordCount:0.001141965
3 cleaning:4.14097E-4
3 serializing:0.13651
3 receiving:1.27491
3 wordCount:0.001166805
4 cleaning:4.1989E-4
4 serializing:0.138903
4 receiving:1.29833
4 wordCount:0.001189785
5 cleaning:4.25432E-4
5 serializing:0.141165
5 receiving:1.311845
5 wordCount:0.001202524
6 cleaning:4.30958E-4
6 serializing:0.142655
6 receiving:1.326716
6 wordCount:0.001216157
7 cleaning:4.35706E-4
7 serializing:0.145008
7 receiving:1.339397
7 wordCount:0.00122993
8 cleaning:4.40522E-4
8 serializing:0.146902
8 receiving:1.353168
8 wordCount:0.001242514
9 cleaning:4.44123E-4
9 serializing:0.148377
9 receiving:1.365007
9 wordCount:0.001254996
10 cleaning:4.47739E-4
10 serializing:0.150051
10 receiving:1.379811
10 wordCount:0.001268165
11 cleaning:4.52151E-4
11 serializing:0.151501
11 receiving:1.396999
11 wordCount:0.001284799
12 cleaning:4.56986E-4
12 serializing:0.153527
12 receiving:1.411786
12 wordCount:0.001301886
13 cleaning:4.61196E-4
13 serializing:0.155353
13 receiving:1.426522
13 wordCount:0.00131764
14 cleaning:4.65263E-4
14 serializing:0.157003
14 receiving:1.444469
14 wordCount:0.001333941
15 cleaning:4.71744E-4
15 serializing:0.158921
15 receiving:1.460643
15 wordCount:0.001347704
16 cleaning:4.7599E-4
16 serializing:0.160625
16 receiving:1.470849
16 wordCount:0.001357969
17 cleaning:4.80912E-4
17 serializing:0.162245
17 receiving:1.487037
17 wordCount:0.00136617
18 cleaning:4.8581E-4
18 serializing:0.163649
18 receiving:1.497953
18 wordCount:0.001380666
19 cleaning:4.90054E-4
19 serializing:0.165376
