Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
55 wordCount:0.003751947
56 cleaning:0.001176479
56 serializing:0.584634
56 receiving:4.113572
56 wordCount:0.00375658
57 cleaning:0.00117669
57 serializing:0.58591
57 receiving:4.120018
57 wordCount:0.003759791
58 cleaning:0.001176949
58 serializing:0.587076
58 receiving:4.123988
58 wordCount:0.003763652
59 cleaning:0.001177601
59 serializing:0.588131
59 receiving:4.128712
59 wordCount:0.003767039
60 cleaning:0.001178095
60 serializing:0.589314
60 receiving:4.131649
60 wordCount:0.003768175
61 cleaning:0.001178514
61 serializing:0.590092
61 receiving:4.138202
61 wordCount:0.003772266
62 cleaning:0.001178921
62 serializing:0.590963
62 receiving:4.144691
62 wordCount:0.003774808
63 cleaning:0.00117988
63 serializing:0.591914
63 receiving:4.148103
63 wordCount:0.003778642
64 cleaning:0.001180626
64 serializing:0.592842
64 receiving:4.150176
64 wordCount:0.003780244
65 cleaning:0.001181017
65 serializing:0.593676
65 receiving:4.157341
65 wordCount:0.003782962
66 cleaning:0.001181952
66 serializing:0.594649
66 receiving:4.161234
66 wordCount:0.003790164
67 cleaning:0.001182914
67 serializing:0.596372
67 receiving:4.168843
67 wordCount:0.003796978
68 cleaning:0.001183546
68 serializing:0.597129
68 receiving:4.176771
68 wordCount:0.003798575
69 cleaning:0.001184248
69 serializing:0.60004
69 receiving:4.183637
69 wordCount:0.003805149
70 cleaning:0.001186306
70 serializing:0.603284
70 receiving:4.193416
70 wordCount:0.003814202
71 cleaning:0.001187358
71 serializing:0.605009
71 receiving:4.205266
71 wordCount:0.003820925
72 cleaning:0.0011884
72 serializing:0.608159
72 receiving:4.223861
72 wordCount:0.003837973
73 cleaning:0.001190207
73 serializing:0.611819
73 receiving:4.251506
73 wordCount:0.003856677
74 cleaning:0.001191711
74 serializing:0.61582
74 receiving:4.286465
74 wordCount:0.003875428
75 cleaning:0.001192664
75 serializing:0.619033
75 receiving:4.329512
75 wordCount:0.003914736
76 cleaning:0.001195578
76 serializing:0.621283
76 receiving:4.3822
76 wordCount:0.003986512
77 cleaning:0.001197848
77 serializing:0.627155
77 receiving:4.448523
77 wordCount:0.004047756
78 cleaning:0.001199355
78 serializing:0.635898
78 receiving:4.469121
78 wordCount:0.004072921
79 cleaning:0.001202755
79 serializing:0.641937
79 receiving:4.490679
79 wordCount:0.004087066
80 cleaning:0.001205213
80 serializing:0.646458
80 receiving:4.513656
