Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
Clean size:29743000
63 cleaning:0.001811814
63 serializing:0.477755
63 receiving:5.271002
63 wordCount:0.004955228
64 cleaning:0.001821033
64 serializing:0.483289
64 receiving:5.335525
64 wordCount:0.005022714
65 cleaning:0.001841881
65 serializing:0.489048
65 receiving:5.407542
65 wordCount:0.005103566
66 cleaning:0.001872336
66 serializing:0.496864
66 receiving:5.474585
66 wordCount:0.005182819
67 cleaning:0.00192525
67 serializing:0.502723
67 receiving:5.547332
67 wordCount:0.005249548
68 cleaning:0.00195587
68 serializing:0.508319
68 receiving:5.630073
68 wordCount:0.005316928
69 cleaning:0.001973677
69 serializing:0.514109
69 receiving:5.673337
69 wordCount:0.005348269
70 cleaning:0.001984046
70 serializing:0.519766
70 receiving:5.710222
70 wordCount:0.005369241
71 cleaning:0.001993832
71 serializing:0.525737
71 receiving:5.767138
71 wordCount:0.005402675
72 cleaning:0.002001877
72 serializing:0.533086
72 receiving:5.846731
72 wordCount:0.005464395
73 cleaning:0.002016683
73 serializing:0.546258
73 receiving:5.946427
73 wordCount:0.005583326
74 cleaning:0.002041324
74 serializing:0.556667
74 receiving:6.061614
74 wordCount:0.005701231
75 cleaning:0.002096676
75 serializing:0.564136
75 receiving:6.211674
75 wordCount:0.005840224
76 cleaning:0.002183409
76 serializing:0.57329
76 receiving:6.323987
76 wordCount:0.00595115
77 cleaning:0.00221886
77 serializing:0.583327
77 receiving:6.40405
77 wordCount:0.006003652
78 cleaning:0.002243836
78 serializing:0.593382
78 receiving:6.516796
78 wordCount:0.006114078
79 cleaning:0.002284673
79 serializing:0.612039
79 receiving:6.649136
79 wordCount:0.006259878
80 cleaning:0.002356961
80 serializing:0.623991
80 receiving:6.791616
80 wordCount:0.006396727
81 cleaning:0.00243787
81 serializing:0.632372
81 receiving:6.944976
81 wordCount:0.006552066
82 cleaning:0.002473104
82 serializing:0.638323
82 receiving:7.082209
82 wordCount:0.006670648
83 cleaning:0.002487871
83 serializing:0.645273
83 receiving:7.134549
83 wordCount:0.006713506
84 cleaning:0.002500713
84 serializing:0.650345
84 receiving:7.174249
84 wordCount:0.006745263
85 cleaning:0.00251195
85 serializing:0.655925
85 receiving:7.227805
85 wordCount:0.006782905
86 cleaning:0.002524121
86 serializing:0.661845
86 receiving:7.293014
86 wordCount:0.00683797
87 cleaning:0.002541062
87 serializing:0.668178
87 receiving:7.381605
87 wordCount:0.006949088
88 cleaning:0.002566245
88 serializing:0.675141
88 receiving:7.524563
88 wordCount:0.007066725
89 cleaning:0.00260948
89 serializing:0.683314
89 receiving:7.677617
89 wordCount:0.007215637
90 cleaning:0.002676796
90 serializing:0.695245
90 receiving:7.84478
90 wordCount:0.007381364
91 cleaning:0.002761053
91 serializing:0.713114
91 receiving:8.020216
91 wordCount:0.007582741
92 cleaning:0.002849254
92 serializing:0.744034
92 receiving:8.28568
92 wordCount:0.007811932
93 cleaning:0.002953511
93 serializing:0.781687
93 receiving:8.576795
93 wordCount:0.008119572
94 cleaning:0.00304243
94 serializing:0.83108
94 receiving:8.780187
94 wordCount:0.008359311
95 cleaning:0.00312725
95 serializing:0.879662
95 receiving:9.087227
95 wordCount:0.008634752
96 cleaning:0.003325728
96 serializing:0.947134
96 receiving:9.509161
96 wordCount:0.009057199
97 cleaning:0.003556665
97 serializing:0.974766
97 receiving:10.197437
97 wordCount:0.009664198
98 cleaning:0.003837963
98 serializing:1.013557
98 receiving:10.73359
98 wordCount:0.010311226
99 cleaning:0.003973422
99 serializing:1.516734
99 receiving:11.710219
99 wordCount:0.010926083
100 cleaning:0.071897626
100 serializing:38.859715
100 receiving:103.83117
100 wordCount:0.10325978
Receiving times: 1.42796128E8 with average:4.8009996
Serializing sum: 1.35759E7 with average:0.45644018
WordCount sum: 136757.6 with average:0.004597976
Cleantime Sum: 50158.234 with average:0.0016863878
